vintage,building_type,size,climate,care,lca,lshp,customer_count
2030,res_unknown,allSize,hot_dry,nonCare,North,allLshp,3208
2030,res_unknown,allSize,hot_dry,nonCare,Sierra,AllDay,24863
2030,res_unknown,allSize,hot_dry,nonCare,Sierra,DayEve,46282
2030,res_unknown,allSize,hot_dry,nonCare,Sierra,EarlyEve,88011
2030,res_unknown,allSize,hot_dry,nonCare,Sierra,Flat,13623
2030,res_unknown,allSize,hot_dry,nonCare,Sierra,FlatCool,36225
2030,res_unknown,allSize,hot_dry,nonCare,Sierra,LateEve,44151
2030,res_unknown,allSize,hot_dry,nonCare,Sierra,MrnEve,52087
2030,res_unknown,allSize,hot_dry,nonCare,Sierra,NiteFlat,8515
2030,res_unknown,allSize,hot_dry,nonCare,Sierra,NitePeak,3667
2030,res_unknown,allSize,hot_dry,nonCare,Stockton,AllDay,10280
2030,res_unknown,allSize,hot_dry,nonCare,Stockton,DayEve,18386
2030,res_unknown,allSize,hot_dry,nonCare,Stockton,EarlyEve,35322
2030,res_unknown,allSize,hot_dry,nonCare,Stockton,FlatCool,20133
2030,res_unknown,allSize,hot_dry,nonCare,Stockton,LateEve,23472
2030,res_unknown,allSize,hot_dry,nonCare,Stockton,MrnEve,20051
2030,res_unknown,allSize,hot_dry,nonCare,Stockton,NiteFlat+Flat,15602
2030,res_unknown,allSize,hot_dry,nonCare,Stockton,NitePeak,1705
2030,res_unknown,allSize,marine,Care,Bay,AllDay,4588
2030,res_unknown,allSize,marine,Care,Bay,DayEve,58636
2030,res_unknown,allSize,marine,Care,Bay,EarlyEve,118216
2030,res_unknown,allSize,marine,Care,Bay,Flat,10481
2030,res_unknown,allSize,marine,Care,Bay,FlatCool,50144
2030,res_unknown,allSize,marine,Care,Bay,LateEve,84055
2030,res_unknown,allSize,marine,Care,Bay,MrnEve,75649
2030,res_unknown,allSize,marine,Care,Bay,NiteFlat,1819
2030,res_unknown,allSize,marine,Care,Bay,NitePeak,13521
2030,res_unknown,allSize,marine,Care,Humboldt,DayEve,1584
2030,res_unknown,allSize,marine,Care,Humboldt,EarlyEve,4996
2030,res_unknown,allSize,marine,Care,Humboldt,Flat,978
2030,res_unknown,allSize,marine,Care,Humboldt,FlatCool+AllDay,4323
2030,res_unknown,allSize,marine,Care,Humboldt,LateEve+NitePeak,3456
2030,res_unknown,allSize,marine,Care,Humboldt,MrnEve,4059
2030,res_unknown,allSize,marine,Care,NoLCA,allLshp,49714
2030,res_unknown,allSize,marine,Care,North,allLshp,92440
2030,res_unknown,allSize,marine,nonCare,Bay,AllDay,55341
2030,res_unknown,allSize,marine,nonCare,Bay,DayEve,172765
2030,res_unknown,allSize,marine,nonCare,Bay,EarlyEve,475656
2030,res_unknown,allSize,marine,nonCare,Bay,Flat,103836
2030,res_unknown,allSize,marine,nonCare,Bay,FlatCool,244877
2030,res_unknown,allSize,marine,nonCare,Bay,LateEve,355037
2030,res_unknown,allSize,marine,nonCare,Bay,MrnEve,369193
2030,res_unknown,allSize,marine,nonCare,Bay,NiteFlat,88040
2030,res_unknown,allSize,marine,nonCare,Bay,NitePeak,81510
2030,res_unknown,allSize,marine,nonCare,Humboldt,allLshp,46553
2030,res_unknown,allSize,marine,nonCare,NoLCA,AllDay,7210
2030,res_unknown,allSize,marine,nonCare,NoLCA,DayEve,21522
2030,res_unknown,allSize,marine,nonCare,NoLCA,EarlyEve,31641
2030,res_unknown,allSize,marine,nonCare,NoLCA,Flat,13486
2030,res_unknown,allSize,marine,nonCare,NoLCA,FlatCool,22439
2030,res_unknown,allSize,marine,nonCare,NoLCA,LateEve,23080
2030,res_unknown,allSize,marine,nonCare,NoLCA,MrnEve,49652
2030,res_unknown,allSize,marine,nonCare,NoLCA,NiteFlat,5382
2030,res_unknown,allSize,marine,nonCare,NoLCA,NitePeak,4146
2030,res_unknown,allSize,marine,nonCare,North,AllDay,20249
2030,res_unknown,allSize,marine,nonCare,North,DayEve,37664
2030,res_unknown,allSize,marine,nonCare,North,EarlyEve,100829
2030,res_unknown,allSize,marine,nonCare,North,Flat,20238
2030,res_unknown,allSize,marine,nonCare,North,FlatCool,50566
2030,res_unknown,allSize,marine,nonCare,North,LateEve,50360
2030,res_unknown,allSize,marine,nonCare,North,MrnEve,80147
2030,res_unknown,allSize,marine,nonCare,North,NiteFlat,10981
2030,res_unknown,allSize,marine,nonCare,North,NitePeak,9159
2040,master_mtr,allSize,hot_dry,allCare,allLca,allLshp,4514
2040,master_mtr,allSize,marine,Care,allLca,allLshp,1056
2040,master_mtr,allSize,marine,nonCare,allLca,allLshp,16299
2040,res_unknown,allSize,hot_dry,Care,Bay,allLshp,79762
2040,res_unknown,allSize,hot_dry,Care,Fresno,AllDay,15611
2040,res_unknown,allSize,hot_dry,Care,Fresno,DayEve,53789
2040,res_unknown,allSize,hot_dry,Care,Fresno,EarlyEve,90527
2040,res_unknown,allSize,hot_dry,Care,Fresno,Flat,2721
2040,res_unknown,allSize,hot_dry,Care,Fresno,FlatCool,19623
2040,res_unknown,allSize,hot_dry,Care,Fresno,LateEve,66223
2040,res_unknown,allSize,hot_dry,Care,Fresno,MrnEve,22419
2040,res_unknown,allSize,hot_dry,Care,Fresno,NiteFlat,1817
2040,res_unknown,allSize,hot_dry,Care,Fresno,NitePeak,3124
2040,res_unknown,allSize,hot_dry,Care,Kern,allLshp,86204
2040,res_unknown,allSize,hot_dry,Care,NoLCA,AllDay,7126
2040,res_unknown,allSize,hot_dry,Care,NoLCA,DayEve,38010
2040,res_unknown,allSize,hot_dry,Care,NoLCA,EarlyEve,59414
2040,res_unknown,allSize,hot_dry,Care,NoLCA,FlatCool,23194
2040,res_unknown,allSize,hot_dry,Care,NoLCA,LateEve,40736
2040,res_unknown,allSize,hot_dry,Care,NoLCA,MrnEve,17303
2040,res_unknown,allSize,hot_dry,Care,NoLCA,NiteFlat+Flat,4658
2040,res_unknown,allSize,hot_dry,Care,NoLCA,NitePeak,1242
2040,res_unknown,allSize,hot_dry,Care,North,allLshp,602
2040,res_unknown,allSize,hot_dry,Care,Sierra,allLshp,108943
2040,res_unknown,allSize,hot_dry,Care,Stockton,allLshp,76343
2040,res_unknown,allSize,hot_dry,nonCare,Bay,AllDay,36719
2040,res_unknown,allSize,hot_dry,nonCare,Bay,DayEve,54069
2040,res_unknown,allSize,hot_dry,nonCare,Bay,EarlyEve,139478
2040,res_unknown,allSize,hot_dry,nonCare,Bay,FlatCool,38798
2040,res_unknown,allSize,hot_dry,nonCare,Bay,LateEve,61222
2040,res_unknown,allSize,hot_dry,nonCare,Bay,MrnEve,66059
2040,res_unknown,allSize,hot_dry,nonCare,Bay,NiteFlat+Flat,29467
2040,res_unknown,allSize,hot_dry,nonCare,Bay,NitePeak,13454
2040,res_unknown,allSize,hot_dry,nonCare,Fresno,AllDay,31145
2040,res_unknown,allSize,hot_dry,nonCare,Fresno,DayEve,53998
2040,res_unknown,allSize,hot_dry,nonCare,Fresno,EarlyEve,83776
2040,res_unknown,allSize,hot_dry,nonCare,Fresno,Flat,14694
2040,res_unknown,allSize,hot_dry,nonCare,Fresno,FlatCool,34434
2040,res_unknown,allSize,hot_dry,nonCare,Fresno,LateEve,63617
2040,res_unknown,allSize,hot_dry,nonCare,Fresno,MrnEve,44381
2040,res_unknown,allSize,hot_dry,nonCare,Fresno,NiteFlat,15288
2040,res_unknown,allSize,hot_dry,nonCare,Fresno,NitePeak,5356
2040,res_unknown,allSize,hot_dry,nonCare,Kern,AllDay,15546
2040,res_unknown,allSize,hot_dry,nonCare,Kern,DayEve,21760
2040,res_unknown,allSize,hot_dry,nonCare,Kern,EarlyEve,16661
2040,res_unknown,allSize,hot_dry,nonCare,Kern,FlatCool,10204
2040,res_unknown,allSize,hot_dry,nonCare,Kern,LateEve,17583
2040,res_unknown,allSize,hot_dry,nonCare,Kern,MrnEve,13844
2040,res_unknown,allSize,hot_dry,nonCare,Kern,NiteFlat+Flat,8813
2040,res_unknown,allSize,hot_dry,nonCare,Kern,NitePeak,1067
2040,res_unknown,allSize,hot_dry,nonCare,NoLCA,AllDay,28429
2040,res_unknown,allSize,hot_dry,nonCare,NoLCA,DayEve,48735
2040,res_unknown,allSize,hot_dry,nonCare,NoLCA,EarlyEve,95154
2040,res_unknown,allSize,hot_dry,nonCare,NoLCA,Flat,21677
2040,res_unknown,allSize,hot_dry,nonCare,NoLCA,FlatCool,44512
