vintage,building_type,size,climate,care,lca,lshp,kwh_bin,customer_count,pv_penetration,per_customer_gross_kwh,per_customer_net_kwh,per_pv_adopter_kwh
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,Flat,60_80pct,2641,0.0,2350.7,2350.7,
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,Flat,80_100pct,2576,0.0,8169.1,8169.1,
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,FlatCool,0_20pct,6224,0.0495,1367.0,771.2,12028.0
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,FlatCool,20_40pct,6100,0.0429,3085.6,2780.5,7116.3
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,FlatCool,40_60pct,5861,0.0736,5459.5,4620.1,11412.1
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,FlatCool,60_80pct,6060,0.2341,9263.1,6662.3,11110.3
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,FlatCool,80_100pct,6068,0.1331,17562.3,16045.3,11400.6
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,LateEve,0_20pct,11239,0.3449,2457.6,-1208.2,10627.7
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,LateEve,20_40pct,11654,0.37,5115.9,2157.0,7996.7
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,LateEve,40_60pct,11168,0.2521,7876.8,5681.0,8711.3
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,LateEve,60_80pct,11392,0.0803,10456.6,9811.0,8045.0
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,LateEve,80_100pct,10551,0.1035,17641.1,16938.6,6787.4
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,MrnEve,0_20pct,6732,1.0,8654.2,-4225.7,12879.9
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,MrnEve,20_40pct,8046,0.2786,6056.2,3610.0,8780.2
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,MrnEve,40_60pct,7906,0.2337,8469.0,6345.1,9089.4
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,MrnEve,60_80pct,8357,0.1407,10894.7,9786.2,7878.8
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,MrnEve,80_100pct,8029,0.1043,17537.7,16692.2,8108.8
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,NiteFlat,0_20pct,2709,0.0455,277.4,15.3,5763.3
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,NiteFlat,20_40pct,2613,0.0,483.4,483.4,
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,NiteFlat,40_60pct,2677,0.0,1291.0,1291.0,
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,NiteFlat,60_80pct,2701,0.0968,2910.2,2175.9,7584.4
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,NiteFlat,80_100pct,2759,0.0915,9673.9,8356.3,14404.2
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,NitePeak,0_20pct,1091,0.3347,4014.3,844.9,9469.0
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,NitePeak,20_40pct,1030,0.2165,5511.2,3175.4,10787.3
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,NitePeak,40_60pct,965,0.0895,8090.4,6869.3,13642.4
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,NitePeak,60_80pct,901,0.1215,13720.9,12680.5,8564.7
2025,res_unknown,allSize,hot_dry,nonCare,Fresno,NitePeak,80_100pct,728,0.301,25948.0,20517.5,18042.2
2025,res_unknown,allSize,hot_dry,nonCare,Kern,AllDay,0_50pct,6509,1.0,12067.5,-11505.2,23572.7
2025,res_unknown,allSize,hot_dry,nonCare,Kern,AllDay,50_100pct,7177,1.0,14293.9,-1222.5,15516.4
2025,res_unknown,allSize,hot_dry,nonCare,Kern,DayEve,0_20pct,3674,1.0,11619.4,-9882.1,21501.6
2025,res_unknown,allSize,hot_dry,nonCare,Kern,DayEve,20_40pct,3791,1.0,11497.0,-3444.9,14941.9
2025,res_unknown,allSize,hot_dry,nonCare,Kern,DayEve,40_60pct,3925,0.4226,9792.3,4399.0,12761.5
2025,res_unknown,allSize,hot_dry,nonCare,Kern,DayEve,60_80pct,3865,0.2685,10973.1,8843.8,7931.9
2025,res_unknown,allSize,hot_dry,nonCare,Kern,DayEve,80_100pct,3900,0.1022,15237.5,14478.4,7424.3
2025,res_unknown,allSize,hot_dry,nonCare,Kern,EarlyEve,0_20pct,2747,1.0,9275.1,-8755.2,18030.2
2025,res_unknown,allSize,hot_dry,nonCare,Kern,EarlyEve,20_40pct,3089,0.5391,5864.7,87.4,10715.9
2025,res_unknown,allSize,hot_dry,nonCare,Kern,EarlyEve,40_60pct,2946,0.2248,6450.0,4462.1,8841.6
2025,res_unknown,allSize,hot_dry,nonCare,Kern,EarlyEve,60_80pct,2996,0.1733,7962.9,6652.7,7561.3
2025,res_unknown,allSize,hot_dry,nonCare,Kern,EarlyEve,80_100pct,2889,0.1363,11514.0,10760.1,5532.0
2025,res_unknown,allSize,hot_dry,nonCare,Kern,FlatCool,0_20pct,1861,0.1728,3106.9,398.7,15671.2
2025,res_unknown,allSize,hot_dry,nonCare,Kern,FlatCool,20_40pct,1819,0.0698,4713.5,4039.7,9656.8
2025,res_unknown,allSize,hot_dry,nonCare,Kern,FlatCool,40_60pct,1638,0.2275,7918.2,5929.1,8742.7
